ObjectId,Neighborhood,Total_New_Green_Roofs,Total_Grass_Planted__Hectares_,Total_Trees_Planted,Total_Cool_Paving__Hectacres_,Total_New_Cool_Roofs,ZIP_CODE
1,Hurstbourne Acres,0,7,1481,54,99,40220
2,Industrial East,0,9,3148,62,588,
3,Industrial West,10,66,3974,177,494,
4,Irish Hill,10,4,1464,30,73,40204
5,Iroquois,2,4,808,15,10,40214
6,Iroquois Park,0,6,1016,29,9,40214
7,Jacobs ,0,10,1787,52,58,40215
8,Jeffersontown,0,101,15076,581,1498,40299
9,Kenwood Hill,0,2,305,8,12,40214
10,Klondike,0,12,1844,44,24,40218
11,Meadow Vale,0,2,783,16,28,40242
12,Meadowbrook Farm,0,2,210,8,1,40223
13,Merriwether,0,2,323,10,18,40217
14,Middletown,0,34,6176,201,348,40243
15,Moorland,0,1,138,5,0,40223
16,Murray Hill,0,1,57,3,0,40242
17,Newburg,0,46,10070,256,519,40218
18,Northfield,0,3,492,14,21,40222
19,Norwood,4,2,360,16,30,40222
20,Okolona,16,83,12936,404,701,40219
21,Old Brownsboro Place,0,1,82,4,0,40242
22,Old Louisville ,33,15,7348,154,517,40203
23,Park Duvalle,0,12,2700,76,98,40211
24,Park Hill,20,9,2295,59,331,40210
25,Parkland,1,12,3397,66,210,40211
26,Phoenix Hill ,20,3,3101,48,173,40204
27,Plantation,0,1,145,5,0,40242
28,Poplar Hills,0,1,57,4,11,40213
29,Poplar Level,0,15,2762,82,139,40213
30,Portland,4,38,8677,230,473,40212
31,Prestonia,0,3,234,21,35,40213
32,Prospect,0,27,2144,94,44,40059
33,Riverwood,0,1,161,7,0,40207
34,Rockcreek Lexington Road,0,12,3593,70,93,40207
35,Rolling Hills ,0,2,178,8,6,40242
36,Russell,0,11,5415,103,302,40212
37,Saint Joseph,0,6,3199,52,83,40217
38,Saint Matthews,22,30,8454,216,431,40207
39,Schnitzelburg,1,9,2531,51,55,40217
40,Shawnee,6,21,5325,113,103,40211
41,Shelby Park,2,3,1449,22,71,40203
42,Shively,3,69,10316,292,539,40210
43,Smoketown Jackson,2,6,2411,51,137,40203
44,South Louisville,0,5,2398,42,108,40208
45,South Park View,0,1,55,3,7,40219
46,Southside,0,12,3823,86,270,40209
47,Spring Mill,0,7,711,22,11,40228
48,Spring Valley,0,1,66,3,0,40241
49,St. Dennis,0,29,2335,92,86,40216
50,Standiford,0,7,164,66,35,40229
51,Taylor Berry,0,20,6723,124,246,40208
52,Ten Broeck,0,2,224,9,1,40241
53,Thornhill,0,0,0,0,0,40222
54,Tyler Park,0,2,678,14,20,40204
55,University,24,14,6895,120,319,40292
56,Valley Station,0,99,10230,329,328,40272
57,Watterson Park,4,14,6987,149,605,40218
58,West Buechel,0,12,2253,78,144,40218
59,Wilder Park,0,4,702,28,16,40214
60,Wildwood,0,1,582,12,25,40207
61,Windy Hills,0,6,466,22,7,40207
62,Woodland Hills,0,7,1029,27,36,40243
63,Worthington Hills,0,6,493,18,8,40245
64,Wyandotte,2,7,1271,37,22,40215
65,Remainder of the city,156,1458,136053,5506,8096,
66,Airport,105,29,3498,342,542,40209
67,Algonquin,17,12,4118,87,310,40210
68,Anchorage,0,24,1488,75,46,40223
69,Auburndale,0,6,719,23,18,40214
70,Audubon,0,6,1316,26,12,40213
71,Audubon Park,0,1,85,4,3,40213
72,Bancroft,0,1,119,4,0,40241
73,Barbourmeade,0,4,489,18,7,40241
74,Bashford Manor,0,7,2156,44,80,40218
75,Beechmont,0,21,4738,105,143,40215
76,Belknap,0,5,526,22,23,40205
77,Bellemeade,0,5,718,25,16,40222
78,Blue Ridge Manor,0,2,203,9,6,40223
79,Bon Air,1,17,5349,101,138,40218
80,Bonnycastle,2,4,1194,22,21,40205
81,Bowman,0,17,2545,100,100,40207
82,Briarwood,0,3,514,14,27,
83,Brownsboro Farm,0,3,277,10,1,
84,Brownsboro Zorn,1,11,1533,53,37,
85,Buechel,1,26,4036,129,235,40218
86,Butchertown,0,13,3606,106,291,
87,California,18,14,5298,121,462,
88,Cambridge,0,0,23,1,0,
89,Camp Taylor,0,4,577,20,29,
90,Central Business District,160,5,7925,139,771,
91,Cherokee Gardens,0,2,145,8,0,40280
92,Cherokee Seneca,0,8,939,34,16,
93,Cherokee Triangle,6,9,3015,64,75,
94,Chickasaw,0,17,2391,77,64,
95,Clifton,0,6,1811,38,104,
96,Clifton Heights,0,8,1465,48,63,
97,Cloverleaf,0,10,1674,41,40,
98,Coldstream,0,1,53,2,0,
99,Creekside,0,1,34,1,2,
100,Crescent Hil,2,24,4053,122,146,
101,Crossgate,0,1,65,7,15,
102,Deer Park,2,6,1898,29,48,
103,Douglass Hills,7,30,4227,131,103,40243
104,Edgewood,0,16,2203,81,107,
105,Fairdale,0,57,3555,153,204,
106,Fairgrounds,61,15,6586,154,437,
107,Fern Creek,0,51,4831,182,142,
108,Fincastle,0,3,184,8,3,
109,Forest Hills,0,4,2541,39,101,
110,Germantown,3,8,2202,42,70,
111,Glenview,0,4,550,26,3,
112,Glenview Hills,0,1,130,6,0,
113,Glenview Manor,0,3,645,14,18,
114,Goose Creek,0,1,105,5,0,
115,Graymoor-Devondale,0,14,2067,58,70,
116,Green Spring,0,2,200,9,0,
117,Hawthorne,0,9,956,45,33,
118,Hayfield Dundee,0,8,1436,45,35,
119,Hazelwood,0,10,1857,42,59,40214
120,Heritage Creek,0,3,316,11,1,
121,Hickory Hill,0,0,9,0,0,
122,Highland Park,1,6,1073,47,87,
123,Higlands ,1,3,1031,16,22,40205
124,Highlands Douglas,0,6,2208,38,47,
125,Highview,0,87,6702,285,307,
126,Hikes Point,0,14,3545,78,97,
127,Hills And Dales ,0,1,60,3,0,
128,Hollow Creek,0,7,502,19,9,
129,Hollyvilla,0,3,144,10,9,
130,Houston Acres,0,1,37,1,1,
131,Hurstbourne,0,18,3832,93,66,
